Merchant_ID,Merchant_Country,Merchant_Language,Merchant_Creation_Timestamp,Merchant_Subscription_Timestamp,Merchant_Days_To_Subscribe,Merchant_Hours_To_Subscribe,Merchant_End_Trial,Merchant_Creation_Year,Merchant_Creation_Month,Merchant_Creation_Day_Of_Week,Merchant_Creation_Time,Merchant_Creation_Time_Period,Merchant_Billing_Country,Merchant_Billing_City,Merchant_Billing_Zip,Merchant_Plan_Offer,Merchant_Plan_Periodicity,Shop_Status,Shop_Name,Shop_ID,Shop_Image_Version,Shop_Existence_Days,Shop_Last_Bo_Connection_Date,Shop_Theme,Shop_Last_Theme_Change_Date,Shop_Products_Count,Shop_Shipping_Methods_Count,Shop_Last_Shipping_Method_Config_Date,Shop_Payment_Methods_Count,Shop_Last_Payment_Method_Config_Date,Shop_Bo_Connections,Shop_Bo_Connections_Last_7_Days,Shop_Bo_Connections_Last_30_Days,Shop_Orders_Count,Shop_Orders_Count_Last_7_Days,Shop_Orders_Count_Last_30_Days,Shop_Last_Order_Date,Shop_Gross_Sales,Shop_Gross_Sales_Last_7_Days,Shop_Gross_Sales_Last_30_Days,Shop_Last_Logo_Change_Date,Shop_Last_Favicon_Change_Date
2535,fr,fr,2017-12-11 01:51:08.000000 UTC,,,,2018-01-10,2017,December,Monday,02:51,Night,Unknown,Unknown,Unknown,Trial,Unknown,created,Jolie En Ours,jolie-en-ours,1.7.2.4__1.1.0__20171129,1,20171212,lifestyle,,21,1,20171212,4,20171212,15,15,15,0,0,0,,0,0,0,20171212,20171212
2523,fr,fr,2017-12-07 21:10:47.000000 UTC,2017-12-10 19:07:52.000000 UTC,2,69,2018-01-06,2017,December,Thursday,22:10,Evening,fr,Appietto,20167,Start,Monthly,created,I Dolci Di Fiora,i-dolci-di-fiora,1.7.2.4__1.1.0__20171129,5,20171210,classic,20171208,104,1,20171209,4,20171209,41,41,41,0,0,0,,0,0,0,20171208,
2414,fr,fr,2017-12-07 15:11:28.000000 UTC,2017-12-08 11:07:49.000000 UTC,0,19,2018-01-06,2017,December,Thursday,16:11,Day,fr,la flèche,72200,Start,Monthly,created,Maedoa,maedoa,1.7.2.4__1.1.0__20171129,5,20171211,classic,,10,1,20171209,4,20171209,25,25,25,0,0,0,,0,0,0,20171208,
2398,fr,fr,2017-12-07 22:22:39.000000 UTC,2017-12-07 23:07:46.000000 UTC,0,0,2018-01-06,2017,December,Thursday,23:22,Evening,fr,chatillon sur marne,51700,Start,Monthly,created,fashion-boutik,fashion-boutik,1.7.2.4__1.1.0__20171129,5,20171211,minimal,20171208,54,1,20171210,4,20171209,43,43,43,0,0,0,,0,0,0,20171208,
2329,fr,fr,2017-12-06 13:53:36.000000 UTC,,,,2018-01-05,2017,December,Wednesday,14:53,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,YoungKhmer,youngkhmer,1.7.2.4__1.1.0__20171129,6,20171212,classic,20171213,1,1,20171207,4,20171207,22,22,22,0,0,0,,0,0,0,20171211,20171211
2339,it,it,2017-12-06 17:55:48.000000 UTC,,,,2018-01-05,2017,December,Wednesday,18:55,Evening,Unknown,Unknown,Unknown,Trial,Unknown,created,tuttapalermo,tuttapalermo,1.7.2.4__1.1.0__20171129,6,20171212,classic,20171213,22,1,20171207,4,20171207,26,26,26,0,0,0,,0,0,0,,
2279,it,it,2017-12-05 08:37:46.000000 UTC,,,,2018-01-04,2017,December,Tuesday,09:37,Morning,Unknown,Unknown,Unknown,Trial,Unknown,created,motoricambilopiccolo,motoricambilopiccolo,1.7.2.4__1.1.0__20171129,7,20171209,lifestyle,,1438,2,20171209,4,20171207,27,16,27,0,0,0,,0,0,0,20171206,20171206
2247,fr,fr,2017-12-04 12:35:28.000000 UTC,,,,2018-01-03,2017,December,Monday,13:35,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,the curb shop,the-curb-shop,1.7.2.4__1.1.0__20171129,8,20171212,classic,,43,2,20171208,4,20171206,24,19,24,2,1,2,20171207,222,85,222,20171205,20171205
2231,fr,fr,2017-12-04 08:41:20.000000 UTC,,,,2018-01-03,2017,December,Monday,09:41,Morning,Unknown,Unknown,Unknown,Trial,Unknown,created,web123,web123,1.7.2.4__1.1.0__20171129,8,20171211,lifestyle,,4,1,20171206,4,20171206,20,12,20,0,0,0,,0,0,0,20171205,
2196,es,es,2017-12-03 08:48:15.000000 UTC,,,,2018-01-02,2017,December,Sunday,09:48,Morning,Unknown,Unknown,Unknown,Trial,Unknown,created,Adaptalia,adaptaliashop,1.7.2.4__1.1.0__20171129,9,20171210,lifestyle,20171203,17,1,20171208,4,20171204,39,33,39,0,0,0,,0,0,0,20171207,20171210
